year,hires,terminations,net_change,net_change_percent
2000,96,17,79,82.29
2001,515,84,431,83.69
2002,489,82,407,83.23
2003,503,90,413,82.11
2004,528,77,451,85.42
2005,490,81,409,83.47
2006,515,83,432,83.88
2007,494,69,425,86.03
2008,517,59,458,88.59
2009,503,65,438,87.08
2010,496,64,432,87.10
2011,490,56,434,88.57
2012,494,57,437,88.46
2013,482,37,445,92.32
2014,489,40,449,91.82
2015,494,28,466,94.33
2016,522,30,492,94.25
2017,503,30,473,94.04
2018,501,24,477,95.21
2019,467,19,448,95.93
2020,452,9,443,98.01
